"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"67","1500005C15Rik",1.78,1.07,0,0,0,0,0.89,1.35
"68","1500009C09Rik",3547.78,3429.4,3506.61,3673.17,2964.79,2928.83,2888.85,3281.4
"69","1500009L16Rik",363.51,354.62,302.25,343.7,306.82,342.91,364.13,370.38
"70","1500011B03Rik",2441.21,2324.84,2320.35,2295.73,2522.35,2419.38,2519.36,2835.31
"71","1500012K07Rik",8.91,6.43,9.36,7.87,8.73,0.7,0,0.68
"72","1500015A07Rik",40.98,47.14,56.17,52.47,38.94,57.62,42.94,37.85
"73","1500015L24Rik",5.35,7.5,2.67,3.94,5.37,7.03,1.79,5.41
"74","1500026H17Rik",206.7,154.28,136.41,181.04,62.44,58.32,43.84,45.28
"75","1500032F14Rik",0,0,0,1.31,2.69,2.11,0.89,0
"76","1500035N22Rik",188.88,139.28,161.82,149.55,73.85,72.38,52.78,61.51
"77","1520401A03Rik",3.56,2.14,1.34,2.62,0.67,4.22,0,0
"78","1600002D24Rik",1.78,0,0,3.94,4.03,1.41,2.68,0
"79","1600010M07Rik",3.56,5.36,1.34,3.94,2.01,0.7,1.79,2.7
"80","1600012H06Rik",509.63,496.04,460.06,516.87,578.72,460.97,408.86,428.51
"81","1600012P17Rik",0,0,0,0,0,0,0,0
"82","1600014C10Rik",735.93,664.24,714.16,768.74,729.78,791.94,821.3,869.86
"83","1600014C23Rik",3.56,12.86,12.04,11.81,8.73,4.22,1.79,8.11
"84","1600017P15Rik",7.13,1.07,0,2.62,2.69,1.41,0,0.68
"85","1600019K03Rik",0,0,0,0,0,0,0,0
"86","1600020E01Rik",363.51,323.55,339.69,350.26,200.74,139.13,130.62,146.67
"87","1600022D10Rik",1.78,1.07,1.34,1.31,0,0.7,0,0
"88","1600023N17Rik",3.56,8.57,5.35,5.25,4.7,5.62,3.58,4.73
"89","1600025M17Rik",0,0,0,0,0,0,0,0
"90","1600027J07Rik",0,0,1.34,0,0,1.41,0,0
"91","1600029O15Rik",12.47,18.21,38.78,27.55,20.14,9.84,13.42,6.76
"92","1700001C19Rik",0,0,1.34,3.94,4.7,5.62,2.68,0.68
"93","1700001D01Rik",0,0,0,0,0,0,0,0
"94","1700001F09Rik",0,0,0,0,1.34,0.7,2.68,0
"95","1700001G01Rik",0,0,4.01,0,0,0,0,0
"96","1700001G11Rik",17.82,8.57,5.35,5.25,11.41,4.22,4.47,2.03
"97","1700001G17Rik",10.69,9.64,6.69,5.25,1.34,6.32,5.37,4.73
"98","1700001J03Rik",0,1.07,2.67,0,0,0,0,0
"99","1700001J04Rik",0,0,0,1.31,0,0.7,0,0
"100","1700001J11Rik",0,0,0,0,0,0,0,0
"101","1700001K19Rik",0,1.07,1.34,0,0,2.11,0.89,0
"102","1700001K23Rik",0,0,0,1.31,2.01,0,0,0
"103","1700001L05Rik",160.37,204.63,192.58,149.55,99.36,101.19,110.04,56.77
"104","1700001L19Rik",564.86,539.96,460.06,406.67,306.82,177.78,193.25,145.99
"105","1700001N15Rik",0,0,0,0,0,0,0,0
"106","1700001O22Rik",48.11,58.92,65.53,78.71,49.01,32.32,17,26.36
"107","1700001P01Rik",1.78,5.36,4.01,10.49,10.74,18.27,5.37,12.84
"108","1700003C15Rik",0,0,0,0,0,0,0,0
"109","1700003D09Rik",1.78,2.14,6.69,3.94,63.78,132.11,117.2,65.56
"110","1700003E16Rik",1085.18,1002.79,1072.58,1201.65,572.68,404.05,484.01,435.94
"111","1700003E24Rik",0,0,0,0,0,0,0,0
"112","1700003F12Rik",19.6,6.43,6.69,9.18,6.04,7.73,3.58,23.66
"113","1700003G18Rik",0,2.14,1.34,0,2.69,0,0,0
"114","1700003H04Rik",0,0,0,0,0,0,0,0
"115","1700003I16Rik",0,0,0,0,0,0.7,0,0
"116","1700003I22Rik",0,0,0,0,0,0,0,0
"117","1700003L19Rik",1.78,8.57,8.02,6.56,4.7,0.7,0,3.38
"118","1700003M07Rik",242.34,227.13,205.96,245.32,175.23,140.54,148.51,220.34
"119","1700003N22Rik",5.35,1.07,1.34,2.62,6.04,0.7,2.68,2.7
"120","1700003O11Rik",0,0,0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0,0,0
