"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"11176","Gm12098",0,0,0,0,0,0.7,0,0
"11177","Gm12099",0,0,0,0,0,0,0,0
"11178","Gm12100",0,0,0,0,0,0,0,0
"11179","Gm12101",0,3.21,5.35,3.94,1.34,2.11,0,0.68
"11180","Gm12102",0,0,0,0,0,0,0,0
"11181","Gm12103",0,0,0,0,0,0,0,0
"11182","Gm12104",5.35,3.21,0,0,0,0,0,0
"11183","Gm12105",0,0,0,0,0,0,0,0
"11184","Gm12106",0,0,0,0,0,0,0,0
"11185","Gm12107",0,0,1.34,0,0,0,0,0
"11186","Gm12108",14.26,6.43,9.36,7.87,21.48,28.81,19.68,11.49
"11187","Gm12109",3.56,1.07,0,0,0.67,0,0,0.68
"11188","Gm12110",1.78,0,0,0,0,0,0,0
"11189","Gm12111",0,8.57,2.67,3.94,4.03,4.92,7.16,3.38
"11190","Gm12112",0,0,0,2.62,0,2.11,1.79,0.68
"11191","Gm12114",0,0,0,0,0,0,0,0
"11192","Gm12115",16.04,3.21,12.04,14.43,0.67,3.51,0.89,2.03
"11193","Gm12116",0,0,0,0,0,0,0,0
"11194","Gm12117",0,0,1.34,1.31,1.34,1.41,5.37,2.7
"11195","Gm12118",0,0,0,0,0.67,0,0,0
"11196","Gm12119",3.56,0,0,0,0,0,0,0
"11197","Gm12120",3.56,0,0,0,0,0,0,0
"11198","Gm12121",0,0,0,0,0,0,0,0
"11199","Gm12122",0,0,0,0,0,0,0,0
"11200","Gm12123",0,0,0,0,0,0,0,0
"11201","Gm12124",0,0,0,0,0,0,0,0
"11202","Gm12125",0,0,0,0,0,0,0,0
"11203","Gm12126",0,0,0,0,0,1.41,0,0
"11204","Gm12127",0,0,0,0,0,0,0,0
"11205","Gm12128",0,0,0,0,0,0,0,0
"11206","Gm12129",0,1.07,0,0,0,0.7,0.89,0.68
"11207","Gm12130",0,0,1.34,0,0,0,0,3.38
"11208","Gm12131",0,0,0,0,0,0,0,0
"11209","Gm12132",0,0,0,0,0.67,0,0,0
"11210","Gm12133",0,0,0,0,0,0,0,0
"11211","Gm12134",0,0,0,0,0,0,0,0
"11212","Gm12135",0,0,0,0,0,0,0,0
"11213","Gm12136",0,0,0,0,0,0,0,0
"11214","Gm12137",0,0,0,0,0,0,0,0
"11215","Gm12138",0,0,0,0,0,0,0,2.03
"11216","Gm12140",0,0,0,0,0,0,0,0
"11217","Gm12142",0,0,0,1.31,0,0,0,0
"11218","Gm12143",0,0,0,0,0,0,0,0
"11219","Gm12144",0,4.29,5.35,2.62,1.34,19.68,8.95,8.79
"11220","Gm12145",0,0,0,0,0,0,0,0
"11221","Gm12146",7.13,1.07,0,1.31,1.34,0.7,0.89,2.03
"11222","Gm12147",0,0,0,0,0,0,0,0
"11223","Gm12148",0,0,0,0,0,0,0,0
"11224","Gm12149",0,0,0,0,0,0,0,0
"11225","Gm12150",0,0,0,0,0,0,0,0
"11226","Gm12151",0,0,0,0,0,0,0,0
"11227","Gm12152",0,0,0,0,0,0,0,0
"11228","Gm12153",0,0,0,0,0,0,0.89,0
"11229","Gm12154",0,0,0,0,0,0,0,0
"11230","Gm12155",5.35,1.07,0,2.62,0,2.11,2.68,1.35
"11231","Gm12156",0,0,0,0,0,0,0,0
"11232","Gm12158",0,0,0,0,0,0,0,0
"11233","Gm12159",0,0,0,0,0.67,0,0,0
"11234","Gm12160",0,0,0,0,0,0,0,0
"11235","Gm12161",0,0,0,0,0.67,3.51,0.89,0
"11236","Gm12162",0,0,0,0,0,0,0,0
"11237","Gm12163",1.78,0,0,0,0.67,0,0,0
"11238","Gm12164",1.78,0,0,1.31,2.69,2.11,0,2.7
"11239","Gm12165",1.78,1.07,5.35,2.62,0.67,0,0,1.35
"11240","Gm12166",5.35,7.5,6.69,3.94,5.37,4.92,1.79,2.03
"11241","Gm12167",0,0,1.34,2.62,0,0,0,0
"11242","Gm12168",0,2.14,0,1.31,1.34,2.81,0,3.38
"11243","Gm12169",0,2.14,0,0,0,0,0.89,0
"11244","Gm12170",0,0,0,0,0,0,0,0
"11245","Gm12171",3.56,4.29,1.34,2.62,0,1.41,0.89,0
"11246","Gm12173",0,0,0,0,0,0,0,0
"11247","Gm12174",37.42,25.71,34.77,31.48,26.18,33.03,29.52,16.22
"11248","Gm12175",0,0,0,0,0,0,0,0
"11249","Gm12176",1.78,1.07,1.34,1.31,0.67,0.7,0.89,2.7
"11250","Gm12178",0,1.07,0,0,0,0,0,0
"11251","Gm12179",0,0,0,0,0,0,0,0
"11252","Gm12180",0,0,0,0,0,0,0,0
"11253","Gm12181",0,0,0,0,0,0,0,0
"11254","Gm12182",5.35,4.29,8.02,3.94,6.71,3.51,13.42,8.79
"11255","Gm12183",24.95,20.36,20.06,19.68,31.55,33.73,26.84,29.74
"11256","Gm12184",46.33,21.43,33.43,36.73,11.41,22.49,17.89,9.46
"11257","Gm12185",0,0,1.34,3.94,0.67,0,5.37,0.68
"11258","Gm12186",0,0,1.34,0,0,0,0,0
"11259","Gm12187",0,0,0,0,0,0,0,0
"11260","Gm12188",0,0,0,0,0,0,0,0
"11261","Gm12189",0,0,0,0,0,0,0,0
"11262","Gm12190",0,0,1.34,0,0,0,0,0
"11263","Gm12191",80.19,46.07,73.56,91.83,26.85,59.73,48.31,37.85
"11264","Gm12192",0,0,0,0,0,0,0,0
"11265","Gm12193",1.78,1.07,0,0,0,0.7,0,0
"11266","Gm12194",1.78,0,0,0,0.67,0.7,0,0.68
"11267","Gm12195",0,0,0,0,0,0,0,0
"11268","Gm12196",0,0,0,0,0.67,0,0,1.35
"11269","Gm12198",42.77,30,28.08,24.93,14.77,9.14,3.58,2.7
"11270","Gm12199",0,0,0,0,0,0,0.89,0
"11271","Gm12200",0,0,0,0,0,0,0,0
"11272","Gm12201",1.78,0,0,1.31,0,1.41,0,0.68
"11273","Gm12202",0,0,0,0,0,0,0,0
"11274","Gm12203",0,0,0,0,0,0,0,0
"11275","Gm12204",0,0,0,0,0,1.41,0,0
"11276","Gm12205",0,0,0,0,0,0,0,0
"11277","Gm12206",0,0,0,0,0,0,0,0
"11278","Gm12207",5.35,8.57,10.7,9.18,0,0,0,0.68
"11279","Gm12208",12.47,1.07,0,0,0,0,0.89,1.35
"11280","Gm12209",0,0,0,0,0,0,0,0
"11281","Gm12210",0,0,0,0,0,0,0,0
"11282","Gm12212",3.56,6.43,5.35,9.18,4.03,2.11,8.95,2.7
"11283","Gm12213",0,0,0,0,0,0,0,0
"11284","Gm12214",0,0,0,0,0,0,0,0
"11285","Gm12216",5.35,32.14,16.05,32.8,10.07,11.24,9.84,6.08
"11286","Gm12217",0,0,0,0,0,0,0,0
"11287","Gm12218",0,2.14,1.34,0,0.67,1.41,0,0
"11288","Gm12219",0,0,0,0,0,0,0,0
"11289","Gm12220",0,0,0,0,0,0,0,0
"11290","Gm12221",0,0,0,0,0,0,0,1.35
"11291","Gm12222",3.56,1.07,0,2.62,0.67,0.7,0,1.35
"11292","Gm12223",0,3.21,0,2.62,0,1.41,0.89,1.35
"11293","Gm12224",0,3.21,4.01,5.25,4.03,0.7,5.37,0
"11294","Gm12225",0,0,0,0,0,0,0,0
"11295","Gm12226",3.56,3.21,0,1.31,0.67,0.7,2.68,2.03
"11296","Gm12227",0,0,0,0,0.67,0,0,0
"11297","Gm12229",0,0,0,0,0,0.7,0,0
"11298","Gm12230",0,0,0,0,1.34,0,0,0
"11299","Gm12235",0,0,0,0,0,0,0,0
"11300","Gm12236",1.78,0,0,0,0,0,0,0
"11301","Gm12237",0,0,0,0,0,0,0,0
"11302","Gm12238",0,0,0,0,0,0,0,0
"11303","Gm12239",0,0,0,1.31,1.34,2.81,0.89,4.73
"11304","Gm12240",1.78,0,0,1.31,0.67,0,0,0
"11305","Gm12241",0,0,0,0,0,0,0,0
"11306","Gm12242",0,0,0,0,0,0,0,0
"11307","Gm12243",0,1.07,0,0,0,0,0,0
"11308","Gm12244",0,0,0,0,0,0,0,2.03
"11309","Gm12245",1.78,1.07,0,0,0,1.41,0.89,0.68
"11310","Gm12246",0,1.07,0,0,0,0,0,0
"11311","Gm12247",0,0,0,2.62,0,0,0.89,0
"11312","Gm12248",0,0,0,0,0,0,0,0
"11313","Gm12249",0,0,0,0,0,0.7,0,0
"11314","Gm12250",0,1.07,4.01,5.25,9.4,4.92,0.89,7.43
"11315","Gm12251",17.82,11.78,9.36,7.87,12.08,16.86,12.53,13.52
"11316","Gm12252",0,0,0,0,0,0,0,0
"11317","Gm12253",0,0,0,0,0,0,0,0
"11318","Gm12254",17.82,11.78,18.72,28.86,12.76,12.65,6.26,15.55
"11319","Gm12255",0,0,0,0,0,0,0,0
"11320","Gm12256",0,0,1.34,0,0,0,0.89,0
"11321","Gm12257",0,0,0,0,0,0,0,0
"11322","Gm12258",472.21,407.11,397.2,367.32,285.33,350.64,223.66,260.89
"11323","Gm12259",0,0,0,0,0,0,0,0
"11324","Gm12261",1.78,0,1.34,0,0,0,0,2.7
"11325","Gm12262",0,0,0,0,0,0,0,0
"11326","Gm12263",0,2.14,4.01,2.62,2.01,2.81,2.68,3.38
"11327","Gm12264",0,0,2.67,0,0,0.7,0,0
"11328","Gm12265",0,0,0,2.62,0,0,0.89,0
"11329","Gm12266",0,1.07,0,2.62,0.67,2.11,2.68,0
"11330","Gm12267",0,2.14,0,2.62,0,1.41,0,0
"11331","Gm12268",0,0,0,0,0,0,0,0
"11332","Gm12269",0,0,1.34,0,0,0,0,0
"11333","Gm12271",0,0,1.34,1.31,0,2.11,0.89,0
"11334","Gm12272",0,0,0,0,0,0,0,0
"11335","Gm12273",1.78,0,1.34,0,0,0,0,0
"11336","Gm12274",0,0,0,0,0.67,0,0,0
"11337","Gm12275",0,0,0,0,0,1.41,0,0
"11338","Gm12276",14.26,13.93,22.74,6.56,12.08,18.97,8.05,16.9
"11339","Gm12278",0,1.07,0,0,0,0,0,0
"11340","Gm12279",3.56,9.64,9.36,11.81,10.74,13.35,5.37,8.79
"11341","Gm12280",0,0,0,0,0,0,0,0
"11342","Gm12281",1.78,0,0,0,0,0,0.89,0
"11343","Gm12285",0,0,0,0,0,0,0,0.68
"11344","Gm12286",10.69,8.57,5.35,2.62,5.37,6.32,8.95,7.43
"11345","Gm12287",0,0,0,0,0,0,0,0
"11346","Gm12288",0,0,0,0,0,0,0,0
"11347","Gm12289",0,0,0,0,0,0,0,0
"11348","Gm12290",0,1.07,0,1.31,0.67,0,0,2.03
"11349","Gm12291",0,0,0,0,0.67,0.7,0,0.68
"11350","Gm12292",0,0,0,0,1.34,4.92,0,0
"11351","Gm12293",0,0,0,0,0,0,0,0
"11352","Gm12294",1.78,5.36,1.34,2.62,0.67,0,0,0
"11353","Gm12295",10.69,1.07,2.67,3.94,2.01,0,0,0
"11354","Gm12296",5.35,6.43,0,1.31,2.69,8.43,0.89,4.06
"11355","Gm12297",0,0,0,1.31,0.67,2.11,0.89,1.35
"11356","Gm12298",0,0,0,0,0,0,0,0
"11357","Gm12299",0,0,5.35,0,0,0,0,0
"11358","Gm12301",0,0,0,0,0,0,0,0
"11359","Gm12303",0,0,0,0,0,0,0,0
"11360","Gm12304",0,0,0,0,0,0,0,0
"11361","Gm12305",0,0,0,0,0.67,0,0,0
"11362","Gm12306",0,0,0,1.31,0,0,0,0
"11363","Gm12307",0,0,0,0,0,0,0,0
"11364","Gm12308",0,0,0,0,0,0,0,0
"11365","Gm12309",0,0,0,0,0,0,0,0
"11366","Gm12310",0,0,0,0,0,0,0,0
"11367","Gm12311",1.78,0,0,1.31,0,0,0,0
"11368","Gm12312",0,0,1.34,0,0,0,1.79,1.35
"11369","Gm12313",0,0,0,0,0,0,0,0
"11370","Gm12314",0,1.07,0,0,0,0,0,0.68
"11371","Gm12315",0,0,0,2.62,2.69,30.22,14.31,1.35
"11372","Gm12316",0,0,1.34,0,1.34,2.11,2.68,0
"11373","Gm12317",0,0,0,0,0,0,0,0
"11374","Gm12318",1.78,0,0,0,0,0,0,0
"11375","Gm12319",24.95,20.36,25.41,28.86,26.18,21.08,30.42,13.52
"11376","Gm12320",12.47,2.14,12.04,7.87,1.34,0.7,1.79,9.46
"11377","Gm12321",0,0,0,0,0,0,0,0
"11378","Gm12322",3.56,2.14,4.01,2.62,0,1.41,2.68,2.7
"11379","Gm12324",0,1.07,0,3.94,0,0,0,0
"11380","Gm12325",0,0,0,0,0,0,0,0
"11381","Gm12326",14.26,7.5,1.34,5.25,2.01,9.14,1.79,0.68
"11382","Gm12327",0,0,0,0,0,0,0,0
"11383","Gm12328",1.78,1.07,2.67,1.31,1.34,0,4.47,2.03
"11384","Gm12329",0,0,0,0,0,0,0,0
"11385","Gm12331",5.35,0,0,0,0,0,0,0
"11386","Gm12332",0,0,0,0,0,0,0,0
"11387","Gm12333",0,0,0,0,0,0,0,0
"11388","Gm12335",30.29,3.21,5.35,2.62,2.69,3.51,4.47,4.73
"11389","Gm12336",0,0,1.34,1.31,0,0,0,0
"11390","Gm12337",1.78,0,0,0,0.67,1.41,0,0
"11391","Gm12338",181.75,148.92,191.25,215.14,83.25,104,59.05,83.81
"11392","Gm12339",0,1.07,2.67,0,4.7,12.65,6.26,4.06
"11393","Gm12340",0,1.07,0,0,0,0,0,0
"11394","Gm12341",0,0,0,1.31,0,1.41,0,0.68
"11395","Gm12343",0,0,0,0,0,0,0,0
"11396","Gm12344",0,1.07,0,0,0,0,0,0
"11397","Gm12345",1.78,0,2.67,0,1.34,0.7,2.68,1.35
"11398","Gm12346",87.31,72.85,62.86,47.23,65.79,78,96.62,111.52
"11399","Gm12347",0,0,0,0,0,0,0,0
"11400","Gm12348",0,0,1.34,0,0.67,0.7,0,0
"11401","Gm12349",0,0,0,0,0,4.92,0,0.68
"11402","Gm12350",58.8,20.36,45.47,31.48,18.13,52.7,35.79,34.47
"11403","Gm12351",0,0,0,0,0,0,0,0
"11404","Gm12352",8.91,10.71,6.69,10.49,0.67,3.51,2.68,2.7
"11405","Gm12353",5.35,3.21,4.01,5.25,0.67,5.62,1.79,2.03
"11406","Gm12354",0,0,0,0,0,0,0,0
"11407","Gm12356",0,2.14,0,1.31,4.03,1.41,0,0.68
"11408","Gm12358",0,0,0,0,0,0,0,0
"11409","Gm12359",1.78,13.93,5.35,7.87,8.73,5.62,8.05,7.43
"11410","Gm12361",0,0,0,0,0,0,0,0
"11411","Gm12362",1.78,0,0,0,0,0,0,0
"11412","Gm12363",0,0,0,0,0,0,0,0
"11413","Gm12364",0,0,0,0,0,0,0,0
"11414","Gm12365",0,0,0,0,0,0,0,0
"11415","Gm12366",1.78,3.21,1.34,1.31,0,2.11,0.89,2.03
"11416","Gm12367",19.6,4.29,6.69,3.94,6.04,3.51,6.26,6.76
"11417","Gm12368",0,0,0,0,0,0,0,0
"11418","Gm12369",0,0,0,0,0,2.11,0,0
"11419","Gm12370",0,0,0,0,0,0,0,0
"11420","Gm12371",231.65,166.06,258.11,156.11,51.7,42.16,51.89,65.56
"11421","Gm12374",1.78,0,0,0,0,0,0,0
"11422","Gm12375",0,0,0,0,0,0,0,0
"11423","Gm12376",0,0,0,0,0,0,0,0
"11424","Gm12377",0,0,0,0,0,0,0,0
"11425","Gm12378",0,0,0,0,0,0,0,0
"11426","Gm12379",0,0,0,0,0,0,0,0
"11427","Gm12380",0,0,2.67,2.62,0,2.11,0,0.68
"11428","Gm12381",0,0,0,0,0,0,0,0
"11429","Gm12382",0,0,0,0,0,0,0,0
"11430","Gm12383",0,0,0,0,0,0,0,0
"11431","Gm12384",0,0,0,0,0,0,0,0
"11432","Gm12385",0,0,0,0,0,0,0,0
"11433","Gm12386",0,0,0,0,0,0,0,0
"11434","Gm12387",0,0,0,0,0,0,0,0
"11435","Gm12388",0,0,0,0,0,0,0,0
"11436","Gm12389",0,1.07,0,0,0.67,0,0.89,0
"11437","Gm12390",0,0,0,0,0,0,0,0
"11438","Gm12391",0,0,0,0,0,0,0,0
"11439","Gm12392",0,0,0,0,0,0,0,0
"11440","Gm12393",0,0,0,0,0,0,0,0
"11441","Gm12394",26.73,17.14,16.05,13.12,8.06,5.62,4.47,7.43
"11442","Gm12395",0,0,0,0,0,0,0,0
"11443","Gm12397",1.78,1.07,1.34,0,0.67,0,0,1.35
"11444","Gm12399",0,0,0,0,0,0,0,0
"11445","Gm12400",0,0,0,0,0,0,0,0
"11446","Gm12401",0,0,0,0,0,0,0,0
"11447","Gm12402",0,0,0,0,0,0,0,0
"11448","Gm12403",3.56,4.29,4.01,2.62,3.36,1.41,1.79,1.35
"11449","Gm12404",0,4.29,0,9.18,2.69,4.22,0.89,1.35
"11450","Gm12405",0,1.07,2.67,2.62,3.36,1.41,0,0
"11451","Gm12406",0,1.07,0,0,3.36,2.81,0,0
"11452","Gm12407",3.56,0,0,0,0,0,0,0
"11453","Gm12408",14.26,16.07,20.06,13.12,16.78,26,26.84,29.06
"11454","Gm12409",0,0,0,0,0,0.7,0.89,0
"11455","Gm12410",0,0,0,0,0,0,0,0
"11456","Gm12411",3.56,3.21,4.01,5.25,0.67,4.22,0,3.38
"11457","Gm12412",0,0,0,0,0,0,0,0
"11458","Gm12413",0,0,0,0,0,0,0,0
"11459","Gm12414",0,0,0,0,0,0,0,0
"11460","Gm12415",1.78,1.07,0,0,0.67,4.22,1.79,0
"11461","Gm12416",12.47,12.86,6.69,15.74,8.06,15.46,8.95,7.43
"11462","Gm12417",0,0,0,0,0,0,0,0
"11463","Gm12418",0,1.07,4.01,0,2.69,1.41,1.79,0
"11464","Gm12419",0,0,1.34,0,0.67,0,0.89,2.03
"11465","Gm12420",0,0,1.34,0,0.67,0,0,0
"11466","Gm12421",0,0,0,0,0,0,0,0
"11467","Gm12422",1.78,2.14,0,5.25,0.67,1.41,0,0.68
"11468","Gm12423",0,0,0,0,0,0,0,0
"11469","Gm12424",0,0,0,0,0,0,0,0
"11470","Gm12425",0,0,0,0,0,0,0,0
"11471","Gm12426",12.47,0,4.01,2.62,2.01,7.03,5.37,2.7
"11472","Gm12427",0,0,0,0,0,0,0,0
"11473","Gm12428",8.91,2.14,1.34,5.25,3.36,2.81,1.79,2.7
"11474","Gm12430",0,0,0,0,0,0,0,0
"11475","Gm12431",0,0,0,0,0,0,0,0
"11476","Gm12432",0,0,0,0,0,0,0,0
"11477","Gm12433",0,0,0,0,0,0,0,0
"11478","Gm12434",0,0,0,0,0,0,0,0
"11479","Gm12435",0,0,0,0,0,0,0,0
"11480","Gm12436",0,0,0,0,0,0,0.89,0
"11481","Gm12438",0,0,0,0,0,0,0,0
"11482","Gm12439",1.78,0,2.67,0,4.03,1.41,3.58,0.68
"11483","Gm12440",0,0,0,0,0,0,0,0
"11484","Gm12441",0,0,0,0,0,0,0,0
"11485","Gm12442",0,0,0,0,0,0,0,0
"11486","Gm12443",0,0,0,0,0,0,0,0
"11487","Gm12444",5.35,0,0,1.31,0.67,2.11,3.58,0
"11488","Gm12445",0,0,0,0,0,0.7,0,0.68
"11489","Gm12446",0,0,0,0,0,0,0,0
"11490","Gm12447",0,6.43,8.02,7.87,2.69,2.11,4.47,4.73
"11491","Gm12448",0,0,0,0,0,0,0,0
"11492","Gm12449",0,0,0,0,0,0,0,0
"11493","Gm12451",0,0,0,0,0,0,0,0
"11494","Gm12452",0,0,0,0,0,0.7,0,0.68
"11495","Gm12453",0,0,0,0,0,0,0,0
"11496","Gm12454",0,0,1.34,0,5.37,6.32,9.84,3.38
"11497","Gm12455",0,0,0,0,0,0,0,0
"11498","Gm12458",0,0,0,0,0,0,0,0
"11499","Gm12459",0,0,0,0,1.34,0,0,1.35
"11500","Gm12460",5.35,1.07,0,2.62,0.67,0,0,0.68
"11501","Gm12461",0,0,0,0,0,0,0,0
"11502","Gm12462",3.56,1.07,10.7,5.25,2.69,0.7,4.47,8.79
"11503","Gm12463",5.35,0,0,0,0,0.7,0,0.68
"11504","Gm12464",0,1.07,0,0,0,0.7,0,0
"11505","Gm12465",0,0,0,0,0,0,0,0
"11506","Gm12466",3.56,0,0,1.31,0,0,2.68,1.35
"11507","Gm12467",0,0,0,0,0,0,0,0
"11508","Gm12468",0,0,0,1.31,0.67,1.41,0,1.35
"11509","Gm12469",0,0,0,0,0.67,0,0,0
"11510","Gm12470",0,0,1.34,1.31,0.67,0.7,0.89,2.03
"11511","Gm12472",3.56,4.29,6.69,1.31,2.69,2.81,1.79,3.38
"11512","Gm12473",0,4.29,2.67,3.94,0,2.81,3.58,1.35
"11513","Gm12474",0,0,0,0,0.67,2.81,0,0.68
"11514","Gm12475",0,0,0,6.56,0,0,0,0
"11515","Gm12477",0,0,0,0,0,0,0,0
"11516","Gm12478",0,0,0,0,0,0,0,0
"11517","Gm12479",0,0,0,0,0,0,0,0
"11518","Gm12480",0,0,0,0,0,0,0,0
"11519","Gm12481",160.37,82.49,80.24,104.95,52.37,52,38.47,54.07
"11520","Gm12482",10.69,6.43,2.67,6.56,2.01,3.51,3.58,2.03
"11521","Gm12484",0,0,0,0,0,0,0,0
"11522","Gm12485",0,0,0,0,0,0,0,0
"11523","Gm12486",0,0,0,0,0,0,0,0
"11524","Gm12488",0,0,0,0,0,0,0,0
"11525","Gm12489",0,0,0,0,0,0,0,0
"11526","Gm12490",3.56,2.14,1.34,1.31,0,0,0,0
"11527","Gm12492",0,0,0,0,0,0,0,0
"11528","Gm12493",0,0,0,0,0,0,0,0
"11529","Gm12494",1.78,1.07,4.01,1.31,0.67,2.81,0,2.7
"11530","Gm12495",0,0,0,0,0,0,0,0
"11531","Gm12496",0,0,0,0,0,0,0,0
"11532","Gm12497",10.69,19.28,21.4,22.3,4.03,16.16,8.95,10.81
"11533","Gm12498",0,0,0,0,0,0,0,0
"11534","Gm12499",0,0,0,0,0,0,0,0
"11535","Gm12500",16.04,15,9.36,13.12,14.1,23.19,25.95,26.36
"11536","Gm12501",1.78,4.29,12.04,5.25,0,0,0.89,0.68
"11537","Gm12502",1.78,0,0,0,2.01,0.7,0,0.68
"11538","Gm12503",0,0,0,1.31,0,0.7,1.79,0
"11539","Gm12504",3.56,3.21,4.01,2.62,2.69,7.03,5.37,1.35
"11540","Gm12505",0,0,0,0,0,0,0,0
"11541","Gm12506",0,1.07,1.34,0,0.67,0,0,2.03
"11542","Gm12507",0,0,0,0,0,0,0,0
"11543","Gm12508",0,0,1.34,0,0,0.7,0,0
"11544","Gm12509",0,0,0,0,0,0,0,0
"11545","Gm12510",0,0,0,0,0,0,0,0
"11546","Gm12511",0,0,0,0,1.34,0,0,0.68
"11547","Gm12512",0,0,0,0,0,0,0,0
"11548","Gm12513",0,0,1.34,0,0,0,0,0
"11549","Gm12514",0,0,0,0,0,0,0,1.35
"11550","Gm12515",0,0,0,0,0,0,0,0
"11551","Gm12516",0,0,1.34,0,0,0,0,0
"11552","Gm12517",3.56,0,2.67,2.62,0.67,1.41,0,0
"11553","Gm12518",0,0,0,0,0,0,0,0
"11554","Gm12519",0,0,0,0,0,0,0,0
"11555","Gm12520",0,0,0,0,0,0,0,0
"11556","Gm12522",14.26,15,18.72,18.37,8.06,5.62,10.74,4.73
"11557","Gm12523",3.56,0,1.34,1.31,0.67,1.41,0.89,0
"11558","Gm12524",0,1.07,0,0,0,0,0,0
"11559","Gm12525",7.13,10.71,18.72,7.87,14.77,2.11,7.16,5.41
"11560","Gm12526",0,0,0,1.31,0,0,0,0
"11561","Gm12527",0,0,0,0,0,0,0,0.68
"11562","Gm12529",0,0,0,0,0,0,0,0
"11563","Gm12530",0,0,0,0,0,0,0,0
"11564","Gm12531",3.56,0,1.34,5.25,0,0.7,1.79,0
"11565","Gm12532",3.56,3.21,5.35,11.81,2.69,2.81,4.47,0
"11566","Gm12534",0,2.14,0,0,0,0.7,0,0
"11567","Gm12535",0,0,0,0,0,0,0,0
"11568","Gm12536",0,0,0,0,0,0.7,0,0
"11569","Gm12537",1.78,4.29,2.67,3.94,4.03,4.22,8.05,5.41
"11570","Gm12538",1.78,1.07,0,0,0,0,3.58,0
"11571","Gm12539",0,0,0,0,0,0,0,0
"11572","Gm12540",3.56,1.07,1.34,0,2.69,3.51,1.79,0.68
"11573","Gm12542",0,0,0,0,0,0,0,0
"11574","Gm12543",5.35,0,1.34,0,0.67,1.41,0.89,0.68
"11575","Gm12550",0,0,0,0,0,0,0,0
"11576","Gm12551",0,0,0,0,0,0,0,0
"11577","Gm12564",0,0,0,0,0,0,0,0
"11578","Gm12565",0,0,1.34,0,0,0.7,0,0
"11579","Gm12566",0,0,0,0,0,0,0,0
"11580","Gm12568",5.35,0,1.34,1.31,0,0.7,0.89,0.68
"11581","Gm12569",0,0,0,0,0,0,0,0
"11582","Gm12570",0,0,0,0,0,0,0,0
"11583","Gm12571",0,0,0,1.31,2.69,1.41,0,0
"11584","Gm12573",0,0,0,0,0,0,0,0
"11585","Gm12576",5.35,1.07,2.67,7.87,3.36,2.11,2.68,2.03
"11586","Gm12577",0,0,0,0,0,0.7,0,0
"11587","Gm12578",0,0,0,0,0,0,0,0
"11588","Gm12579",0,1.07,0,0,0,0,0,0
"11589","Gm12580",0,1.07,1.34,0,0,0.7,0.89,1.35
"11590","Gm12582",0,1.07,0,0,0,0,0,0
"11591","Gm12583",0,0,0,0,0,0,0.89,0
"11592","Gm12584",0,0,0,0,0,0,0,0
"11593","Gm12585",0,0,0,0,0,0,0,0
"11594","Gm12586",0,0,0,0,0.67,0,0,0
"11595","Gm12587",0,0,0,0,0.67,0,0,0
"11596","Gm12589",0,0,0,0,0,0,0,0
"11597","Gm12590",0,0,0,0,0,0,0,0
"11598","Gm12591",0,0,0,0,0,0,0,0
"11599","Gm12592",49.89,40.71,49.48,27.55,35.58,29.51,29.52,33.12
"11600","Gm12593",0,0,0,0,0,0,0,0
"11601","Gm12594",0,0,0,0,0,0,0,0
"11602","Gm12596",0,0,0,0,0,0,0,0
"11603","Gm12598",0,0,0,0,0,0,0,0
"11604","Gm12599",0,2.14,0,0,0,2.81,0.89,0
"11605","Gm12600",0,0,1.34,0,1.34,0.7,0,0
"11606","Gm12601",0,0,0,0,0,0,0,0
"11607","Gm12602",0,0,0,0,0,0,0,0
"11608","Gm12604",0,0,0,0,0,0,0,0
"11609","Gm12606",1.78,0,0,0,0,0,0,0
"11610","Gm12607",0,0,0,0,0,0,0,0
"11611","Gm12608",0,0,0,0,0,0,0,0
"11612","Gm12609",0,0,0,0,0.67,0,0,0
"11613","Gm12610",0,0,0,0,0.67,0,0,0.68
"11614","Gm12611",0,1.07,0,0,0,0.7,0.89,0.68
"11615","Gm12612",0,0,0,0,0,0,0,0
"11616","Gm12613",0,0,0,0,0,0,0,0
"11617","Gm12614",0,0,0,0,0,0,0,0
"11618","Gm12615",0,0,0,0,0,0,0,0
"11619","Gm12616",0,0,0,0,0,0,0,0
"11620","Gm12617",0,0,0,0,0,0,0.89,0
"11621","Gm12618",0,1.07,0,0,0,0.7,0.89,1.35
"11622","Gm12619",0,0,0,0,0,0,0,0
"11623","Gm12620",0,0,0,0,0,0,0,0
"11624","Gm12621",0,0,0,0,0,0,0,0
"11625","Gm12622",0,0,0,0,0,0,0,0
"11626","Gm12623",0,0,0,0,0,0,0,0
"11627","Gm12624",0,0,0,0,0,0,0,0
"11628","Gm12625",0,0,0,0,0,0,0,0
"11629","Gm12626",0,0,0,0,0,0,0,0
"11630","Gm12627",0,0,0,0,0,0,0,0
"11631","Gm12628",0,0,0,0,0,0,0,0
"11632","Gm12629",0,0,0,0,0,0,0,0
"11633","Gm12630",3.56,4.29,2.67,2.62,0.67,0.7,1.79,0.68
"11634","Gm12631",0,1.07,4.01,1.31,0,0.7,0.89,0.68
