"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"42","1110028F11Rik",0,0,0,0,1.34,0.7,0,0,0.3,0.05,1.05,0.76315,NA
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","1110032A03Rik",1076.27,1000.64,964.25,1027.18,825.79,856.58,752.41,823.9,915.9,-0.31,-0.32,0.00031,0.00116
"45","1110032F04Rik",625.45,578.53,480.12,501.13,338.37,80.11,140.46,127.74,359,-1.25,-1.67,0.00019,0.00075
"46","1110035H17Rik",1.78,2.14,2.67,3.94,2.69,0.7,3.58,3.38,2.6,-0.01,-0.05,0.9632,0.97827
"47","1110038B12Rik",318.96,293.55,255.44,329.27,186.64,131.4,103.78,111.52,216.3,-1.07,-1.16,3.81311603524296e-09,3.6346264126793e-08
"48","1110038F14Rik",381.33,333.19,314.28,305.66,305.48,252.97,246.03,253.45,299,-0.31,-0.33,0.01308,0.03254
"49","1110046J04Rik",196.01,145.7,125.71,149.55,47.67,26,26.84,25.68,92.9,-2.19,-2.28,8.95894084332073e-19,3.1428235961425e-17
"50","1110051M20Rik",1518.19,1560.96,1340.05,1309.22,1504.55,1515.01,1872.52,1947.89,1571,0.24,0.26,0.03472,0.07521
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"52","1110059E24Rik",967.58,902.08,786.38,843.52,525.69,583.24,586.9,588.02,722.9,-0.59,-0.61,1.82341397545494e-09,1.8331544090847e-08
"53","1110059G10Rik",607.63,569.96,478.78,469.64,326.96,368.91,410.65,309.55,442.8,-0.55,-0.59,2e-05,0.00011
