"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"32268","Gm48416",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"32269","Gm48417",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32270","Gm48418",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32271","Gm48419",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32272","Gm4842",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32273","Gm48420",23.57,17.92,22.22,18.41,11.78,14.74,10.72,17.1,-0.42,-0.71,0.12377,0.22412
"32274","Gm48421",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32275","Gm48422",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32276","Gm48423",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32277","Gm48424",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32278","Gm48425",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32279","Gm48426",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32280","Gm48427",4.71,0,0,1.15,0,0,0,0.8,-0.17,-3.29,0.22073,NA
"32281","Gm48428",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32282","Gm48429",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32283","Gm48430",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32284","Gm48431",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32285","Gm48432",28.28,28.3,19.88,17.26,10.94,8.42,4.12,16.7,-0.9,-1.58,0.00241,0.00747
"32286","Gm48433",0,0,0,0,2.53,0,3.3,0.8,0.18,3.14,0.21465,NA
"32287","Gm48434",0,0,0,1.15,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32288","Gm48435",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32289","Gm48436",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"32290","Gm48437",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32291","Gm48438",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32292","Gm48439",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32293","Gm48440",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32294","Gm48441",3.14,3.77,0,1.15,0,2.81,0,1.6,-0.1,-1.06,0.55718,0.69282
"32295","Gm48442",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32296","Gm48443",0,0,0,0,0,0,0.82,0.1,0.01,0.37,0.92344,NA
"32297","Gm48444",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32298","Gm48445",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32299","Gm48446",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32300","Gm48447",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32301","Gm48448",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"32302","Gm48449",0,0.94,0,1.15,1.68,0,0.82,0.7,0.03,0.52,0.8298,NA
"32303","Gm4845",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32304","Gm48450",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32305","Gm48451",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32306","Gm48452",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32307","Gm48453",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32308","Gm48454",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32309","Gm48455",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32310","Gm48456",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32311","Gm48457",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32312","Gm48458",3.14,0,1.17,1.15,0,0,0,0.8,-0.19,-3.19,0.19932,NA
"32313","Gm48459",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32314","Gm4846",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32315","Gm48460",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32316","Gm48461",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32317","Gm48462",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32318","Gm48463",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32319","Gm48464",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32320","Gm48465",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32321","Gm48466",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32322","Gm48467",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32323","Gm48468",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32324","Gm48469",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32325","Gm4847",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32326","Gm48470",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32327","Gm48471",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32328","Gm48472",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32329","Gm48473",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32330","Gm48474",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32331","Gm48475",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32332","Gm48476",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32333","Gm48477",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32334","Gm48478",3.14,0.94,0,0,0,0,0,0.6,-0.12,-2.78,0.35526,NA
"32335","Gm48479",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"32336","Gm48480",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32337","Gm48481",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32338","Gm48482",17.28,28.3,30.41,25.31,24.41,18.25,18.96,23.3,-0.2,-0.32,0.42863,0.57748
"32339","Gm48483",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32340","Gm48484",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32341","Gm48485",6.29,0.94,4.68,3.45,0,0.7,0,2.3,-0.51,-3.74,0.02548,0.05976
"32342","Gm48486",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32343","Gm48487",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32344","Gm48488",25.14,16.98,5.85,10.35,15.15,7.02,9.07,12.8,-0.21,-0.47,0.43723,0.58588
"32345","Gm48489",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32346","Gm4849",0,0,0,0,0.84,0.7,0,0.2,0.03,1.24,0.74296,NA
"32347","Gm48490",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32348","Gm48491",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32349","Gm48492",0,0,0,0,0,0,0.82,0.1,0.01,0.37,0.92344,NA
"32350","Gm48493",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32351","Gm48494",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32352","Gm48495",4.71,5.66,4.68,1.15,1.68,2.11,5.77,3.7,-0.08,-0.35,0.72888,0.82693
"32353","Gm48496",0,0,0,0,0,0,2.47,0.4,0.05,1.91,0.60783,NA
"32354","Gm48497",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32355","Gm48498",0,0,0,0,0.84,0,0,0.1,0.01,0.37,0.92344,NA
"32356","Gm48499",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32357","Gm4850",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"32358","Gm48500",0,0,2.34,0,0,1.4,0.82,0.7,0.02,0.29,0.91152,NA
"32359","Gm48501",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32360","Gm48502",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32361","Gm48503",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32362","Gm48504",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32363","Gm48505",0,0,0,0,0,2.11,0.82,0.4,0.08,2.17,0.50927,NA
"32364","Gm48506",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32365","Gm48507",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32366","Gm48508",3.14,14.15,4.68,14.96,0,4.21,0,5.9,-0.67,-2.66,0.01626,0.04065
"32367","Gm48509",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32368","Gm48510",1.57,2.83,0,0,0,0,0,0.6,-0.13,-2.94,0.31329,NA
"32369","Gm48511",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32370","Gm48512",1.57,3.77,0,2.3,0.84,7.02,3.3,2.7,0.16,0.94,0.46027,0.60698
