"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"65","1500002F19Rik",5.4,19.74,13.97,14.74,10.8,7.28,7.18,10.45,3.63,12.79
"66","1500004A13Rik",1192.26,1218.3,1393.55,1174.02,1475.99,1299.69,1455.68,1405.51,1319.47,1165.84
"67","1500005C15Rik",1.8,0,3.88,1.64,0.98,0,0,0,0,1.71
"68","1500009C09Rik",2906.42,4161.53,2866.29,3260.07,3141.39,3181.89,3351.89,3147.16,2646.91,3065.99
"69","1500009L16Rik",197.06,209.45,385.85,334.03,324.84,274.26,313.64,179.39,218.34,196.16
"70","1500011B03Rik",1875.22,2215.1,2002.21,2243.24,2129.59,2105.48,2094.93,2444.4,2292.2,2472.41
"71","1500012K07Rik",4.5,5.48,9.32,8.19,5.89,8.49,7.18,10.45,4.35,3.41
"72","1500015A07Rik",30.59,26.32,52.02,37.66,43.18,50.97,47.88,32.22,47.88,37.53
"73","1500015L24Rik",2.7,3.29,13.2,4.91,6.87,2.43,3.59,0,0,0
"74","1500026H17Rik",53.99,48.25,114.12,189.94,141.32,123.78,165.2,46.15,57.3,50.32
"75","1500032F14Rik",0.9,0,3.88,0,0,0,1.2,0,0,0
"76","1500035N22Rik",27.89,46.06,59,173.56,127.58,146.84,136.47,61.83,47.88,56.29
"77","1520401A03Rik",2.7,1.1,2.33,3.27,1.96,1.21,2.39,0,0.73,0
"78","1600002D24Rik",0,0,2.33,1.64,0,0,3.59,4.35,0,0
"79","1600010M07Rik",1.8,1.1,0,3.27,4.91,1.21,3.59,0.87,1.45,0.85
"80","1600012H06Rik",423.82,346.52,432.43,468.3,454.38,417.46,471.66,381.42,424.35,410.22
"81","1600012P17Rik",0,0,0,0,0,0,0,0,0,0
"82","1600014C10Rik",748.65,687.56,680.08,676.25,608.45,648.03,701.5,714.95,675.33,750.51
"83","1600014C23Rik",3.6,0,4.66,3.27,11.78,10.92,10.77,3.48,1.45,0.85
"84","1600017P15Rik",5.4,2.19,0,6.55,0.98,0,2.39,0.87,0,0
"85","1600019K03Rik",0,0,0,0,0,0,0,0,0,0
"86","1600020E01Rik",81.88,165.58,198.75,334.03,296.38,308.24,319.63,107.98,121.86,130.49
"87","1600022D10Rik",0,0,0.78,1.64,0.98,1.21,1.2,2.61,2.18,0
"88","1600023N17Rik",6.3,0,3.11,3.27,7.85,4.85,4.79,1.74,4.35,2.56
"89","1600025M17Rik",0,0,0,0,0,0,0,0,0,0
"90","1600027J07Rik",1.8,0,0,0,0,1.21,0,0,0.73,0
"91","1600029O15Rik",44.99,7.68,20.19,11.46,16.68,35.19,25.14,13.06,16.68,17.06
"92","1700001C19Rik",2.7,2.19,3.11,0,0,1.21,3.59,1.74,0,1.71
"93","1700001D01Rik",0,0,0,0,0,0,0,0,0,0
"94","1700001F09Rik",0,0,0,0,0,0,0,0,0,0
"95","1700001G01Rik",0,0,0,0,0,3.64,0,0,0,0
"96","1700001G11Rik",3.6,4.39,6.21,16.37,7.85,4.85,4.79,5.22,4.35,5.97
"97","1700001G17Rik",0.9,2.19,1.55,9.82,8.83,6.07,4.79,13.06,3.63,0.85
"98","1700001J03Rik",0,1.1,0,0,0.98,2.43,0,0,0.73,0
"99","1700001J04Rik",0,0,0,0,0,0,1.2,0,0,1.71
"100","1700001J11Rik",0,0,0,0,0,0,0,0,0,0
"101","1700001K19Rik",0,0,0,0,0.98,1.21,0,0.87,0,0
"102","1700001K23Rik",0,0,0.78,0,0,0,1.2,0,0,0
"103","1700001L05Rik",87.28,111.85,139.74,147.37,187.44,174.75,136.47,230.77,144.35,138.16
"104","1700001L19Rik",173.67,222.61,392.83,519.06,494.61,417.46,371.1,308.27,303.21,311.29
"105","1700001N15Rik",0,0,0,0,0,0,0,0,0,0
"106","1700001O22Rik",49.49,104.18,69.87,44.21,53.98,59.46,71.83,41.8,21.04,34.11
"107","1700001P01Rik",12.6,4.39,14.75,1.64,4.91,3.64,9.58,0,2.9,0.85
"108","1700003C15Rik",0,0,0,0,0,0,0,0,0,0
"109","1700003D09Rik",4.5,3.29,20.96,1.64,1.96,6.07,3.59,0.87,11.61,5.12
"110","1700003E16Rik",602.88,883.85,667.66,997.18,918.57,973.25,1096.55,875.18,623.1,726.63
"111","1700003E24Rik",0,0,0,0,0,0,0,0,0,0
"112","1700003F12Rik",5.4,5.48,13.97,18.01,5.89,6.07,8.38,3.48,2.9,3.41
"113","1700003G18Rik",0,0,0,0,1.96,1.21,0,0,0,0
"114","1700003H04Rik",0,0,0,0,0,0,0,0,0,0
"115","1700003I16Rik",0,0,0,0,0,0,0,0,0,0
"116","1700003I22Rik",0,0,0,0,0,0,0,0,0,0
"117","1700003L19Rik",2.7,4.39,0,1.64,7.85,7.28,5.99,0.87,0.73,3.41
"118","1700003M07Rik",160.17,251.12,243,222.69,208.05,186.88,223.86,107.98,115.34,104.9
"119","1700003N22Rik",3.6,3.29,6.21,4.91,0.98,1.21,2.39,0.87,2.9,0
"120","1700003O11Rik",0,0,0,0,0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0,0,0,0,0
"123","1700006F04Rik",0,0,0,0,0,0,1.2,0,0,0
"124","1700006H21Rik",0,0,0,0,0,0,0,0,0,0
"125","1700006J14Rik",0.9,2.19,0,3.27,0.98,0,0,0,0,0
"126","1700006P03Rik",0,0,0,0,0,0,0,0,0,0
"127","1700007E05Rik",0,0,0,3.27,0,0,0,0,0,0
"128","1700007F19Rik",0.9,3.29,4.66,3.27,3.93,2.43,4.79,0,0,0
"129","1700007H22Rik",0,0,0,0,0,0,0,0,0,0
"130","1700007J10Rik",0.9,0,0,0,0,0,1.2,0,0,0
"131","1700007K13Rik",46.79,70.18,46.58,81.87,47.11,44.9,43.1,49.64,110.26,65.67
"132","1700007L15Rik",9,10.97,10.87,14.74,12.76,8.49,21.55,11.32,15.23,4.26
"133","1700007M16Rik",0,0,0,0,0,0,0,0,0,0
"134","1700007P06Rik",10.8,20.84,32.61,18.01,29.44,15.78,29.93,24.38,10.88,18.76
"135","1700008A23Rik",0,0,0,0,0,0,0,0.87,0,0
"136","1700008B11Rik",0,0,0,0,0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0,0,0,0,0
"138","1700008H02Rik",0,0,0,0,0,0,0,0,0,0
"139","1700008J07Rik",44.99,70.18,41.15,39.3,47.11,94.66,83.8,67.05,47.88,39.23
"140","1700008K24Rik",0,0,0,0,0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,0,0,0,2.39,0,0,0
"142","1700008O03Rik",53.99,64.7,24.84,42.57,38.27,35.19,38.31,22.64,29.74,26.44
"143","1700008P02Rik",0,0,0,0,0,0,0,0,0,0
"144","1700009C05Rik",2.7,0,0,3.27,0.98,4.85,1.2,2.61,3.63,0.85
"145","1700009J07Rik",0,0,0.78,0,0,0,0,0,0,0
"146","1700009N14Rik",0,0,0,0,0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,0,0,0,1.2,0,0,0
"148","1700010B13Rik",0.9,0,0,0,1.96,3.64,0,2.61,0.73,0
"149","1700010D01Rik",0,0,0,0,0,0,0,0,0,0
"150","1700010G06Rik",2.7,0,0.78,0,2.94,0,0,0,0,0
"151","1700010H22Rik",0,0,0,0,0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0,0,0,0,0
"153","1700010I14Rik",8.1,10.97,13.97,21.29,9.81,13.35,16.76,11.32,7.98,10.23
"154","1700010J16Rik",0,0,0,1.64,0.98,0,0,0,0,2.56
"155","1700010K23Rik",1.8,0,0,0,0,0,2.39,0,2.18,0
"156","1700010K24Rik",0,0,3.88,0,0,3.64,1.2,0.87,1.45,3.41
"157","1700010L04Rik",0,0,0,0,0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0,0,0,0,0
"161","1700011D18Rik",0.9,1.1,0.78,0,0.98,0,1.2,0.87,0,0
"162","1700011L03Rik",0,0,0,0,0,0,0,0,0,0
"163","1700011L22Rik",0,0,0,0,0,0,0,0,0,0
"164","1700011M02Rik",0,0,0,0,0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0,0,0,0,0
"166","1700012B07Rik",0,0,0,0,0,1.21,0,0,0,0
"167","1700012B09Rik",2.7,2.19,0,0,1.96,3.64,11.97,3.48,8.7,6.82
"168","1700012C08Rik",0,0,0,0,0,0,0,0,0,0
"169","1700012C14Rik",0.9,1.1,1.55,0,5.89,2.43,1.2,2.61,3.63,1.71
"170","1700012D14Rik",6.3,6.58,22.51,19.65,17.66,20.63,14.37,13.93,10.88,5.97
"171","1700012D16Rik",0,0,0,0,0,0,0,0,0,0
"172","1700012E03Rik",0,0,1.55,0,0,0,0,0,0,0
"173","1700012I11Rik",0,0,0,0,0.98,0,0,0,0,0
"174","1700012J15Rik",0,0,0,0,0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0,0,0,0,0
"176","1700012P22Rik",0,1.1,0,0,0,0,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0,0,0,0,0
"179","1700013F07Rik",9,0,8.54,14.74,19.63,6.07,26.34,10.45,20.31,6.82
"180","1700013G24Rik",0,0,0,0,0,0,0,0,0,0
"181","1700013H16Rik",0,1.1,1.55,3.27,2.94,2.43,0,0,0,0
"182","1700013M08Rik",0,0,0,0,0,2.43,0,0,0,0
"183","1700013N06Rik",0,0,0,0,0,0,0,0,0,0
"184","1700014D04Rik",2.7,10.97,8.54,8.19,2.94,9.71,10.77,7.84,4.35,9.38
"185","1700014F14Rik",0,0,0,0,0,0,0,0,0,0
"186","1700014L14Rik",0,0,0,0,0,0,0,0,0,0
"187","1700015C15Rik",0,3.29,0.78,6.55,0,0,0,0,1.45,0
"188","1700015C17Rik",0,0,0,0,0,0,0,0,0,0
"189","1700015F17Rik",0,0,2.33,3.27,2.94,2.43,0,0,0.73,1.71
"190","1700015G11Rik",0,0,0,0,0,1.21,0,0,0,0.85
"191","1700015H07Rik",0,0,0,0,0,0,0,0,0,0
"192","1700015I17Rik",1.8,0,0.78,1.64,0,0,1.2,0,0,0
"193","1700015O11Rik",0,0,0,0,0,0,0,0,0,0
"194","1700016A09Rik",5.4,2.19,3.88,6.55,15.7,4.85,2.39,11.32,6.53,1.71
"195","1700016B01Rik",0,0,0,0,0,0,0,0,0,0
