"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"2545","A930012O16Rik",9.21,13.34,8.41,9.95,9.67,9.11,3.07,9.79,11.63,3.4
"2546","A930014D07Rik",0,0,0,0,0,0,0,0,0,0
"2547","A930014E01Rik",0,0,0,0,0,0,0,0,0,0
"2548","A930014E10Rik",0,0,0,0,0,0,0,0,0,0
"2549","A930015D03Rik",50.68,38.9,24.02,53.56,53.19,37.44,23,33.73,23.26,29.43
"2550","A930015P04Rik",5.53,1.11,0,3.06,0.81,0,0,0,0,1.13
"2551","A930016O22Rik",4.61,3.33,4.8,3.83,4.84,1.01,0.77,1.09,1.29,0
"2552","A930017K11Rik",0,1.11,2.4,1.53,1.61,1.01,3.83,6.53,2.58,1.13
"2553","A930017M01Rik",256.15,386.78,287.05,280.8,411.02,441.18,585.84,499.45,586.77,461.79
"2554","A930018P22Rik",0,1.11,1.2,0,0,0,0,0,0,0
"2555","A930019D19Rik",0,1.11,0,0.77,0,0,0,0,0,0
"2556","A930023M06Rik",0,0,0,0,0,0,0,0,0,0
"2557","A930024E05Rik",17.51,7.78,24.02,26.78,35.46,11.13,16.87,16.32,29.73,10.19
"2558","A930027H12Rik",0,0,0,0,0.81,0,0,0,0,0
"2559","A930027P06Rik",0,3.33,4.8,3.06,5.64,4.05,6.13,4.35,12.92,10.19
"2560","A930028N01Rik",0,0,0,0.77,0.81,0,0,0,0,0
"2561","A930028O11Rik",0,1.11,0,2.3,2.42,0,0,3.26,0,0
"2562","A930029G22Rik",4.61,12.23,7.21,12.24,12.09,15.18,8.43,10.88,18.09,7.92
"2563","A930030B08Rik",1.84,0,1.2,3.06,4.03,0,0,4.35,2.58,0
"2564","A930031H19Rik",0,0,0,0,0,0,0,0,2.58,0
"2565","A930032L01Rik",0,0,2.4,0,0,0,0,0,0,0
"2566","A930033H14Rik",54.36,25.56,37.23,26.01,25.79,25.3,35.27,30.47,23.26,18.11
