"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1","0610005C13Rik",1.84,0,3.6,0,0.81,3.04,1.53,2.18,0,0
"2","0610006L08Rik",0,3.33,3.6,0,0,0,0,0,0,0
"3","0610009B22Rik",446.88,445.68,409.55,457.54,441.64,444.22,456.25,410.22,501.47,514.99
"4","0610009E02Rik",6.45,21.12,13.21,19.13,23.37,6.07,23.77,15.23,21.97,23.77
"5","0610009L18Rik",44.23,28.9,37.23,46.67,42.71,35.42,39.11,47.88,42.65,45.27
"6","0610010F05Rik",1410.68,1354.83,1611.79,1434.58,1336.21,1365.03,1443.12,1517.93,1433.33,1437.44
"7","0610010K14Rik",1.84,17.78,8.41,19.89,5.64,13.15,14.57,7.62,10.34,13.58
"8","0610012D04Rik",0,0,0,0,1.61,0,0,1.09,0,0
"9","0610012G03Rik",800.71,850.24,847.93,951.03,739.03,728.56,759.13,574.53,713.43,759.46
"10","0610025J13Rik",0,3.33,0,0,0.81,0,1.53,1.09,0,6.79
"11","0610030E20Rik",350.14,300.09,252.22,376.43,392.48,234.76,267.61,315.56,268.83,256.93
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0.77,0,0,0,0,1.29,0
"14","0610038B21Rik",4.61,6.67,8.41,7.65,10.48,7.08,10.74,3.26,1.29,14.71
"15","0610039K10Rik",0,1.11,2.4,0,0,2.02,0,2.18,1.29,1.13
"16","0610040B10Rik",50.68,66.69,44.44,52.03,38.68,55.65,40.64,48.97,52.99,61.12
"17","0610040F04Rik",13.82,21.12,7.21,12.24,17.73,10.12,17.64,18.5,21.97,15.85
"18","0610040J01Rik",180.6,270.08,236.6,343.53,298.19,236.78,218.54,215.45,200.33,282.96
"19","0610043K17Rik",5.53,3.33,1.2,0,0,0,1.53,1.09,0,6.79
"20","0710001A04Rik",0,0,0,0,0,0,1.53,0,0,0
"21","1010001B22Rik",21.19,13.34,4.8,13.77,12.09,14.17,7.67,2.18,24.56,6.79
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,0
"23","1110002E22Rik",38.7,18.89,128.51,53.56,15.31,8.1,10.74,9.79,21.97,18.11
"24","1110002J07Rik",35.94,26.67,33.63,43.61,35.46,30.36,21.47,20.67,14.22,24.9
"25","1110002L01Rik",436.75,310.09,303.86,438.41,444.06,283.33,272.21,343.85,316.65,407.46
"26","1110002O04Rik",11.06,2.22,7.21,6.89,0.81,3.04,1.53,2.18,1.29,4.53
"27","1110003F10Rik",0,1.11,0,1.53,0.81,1.01,0.77,1.09,0,0
"28","1110004F10Rik",2411.33,2530.72,2452.51,2468.24,2430.65,2462.92,2334.14,2318.79,2095.06,2338.38
"29","1110006O24Rik",9.21,7.78,13.21,14.54,19.34,8.1,15.34,4.35,19.39,10.19
"30","1110008E08Rik",0,0,0,0,0,1.01,1.53,2.18,0,1.13
"31","1110008P14Rik",1265.1,1121.43,2481.34,1844.68,975.16,980.51,1055.89,1047.86,1053.35,1190.69
"32","1110012L19Rik",344.61,354.55,337.49,340.47,325.59,304.58,311.32,281.82,333.45,384.83
"33","1110013H19Rik",5.53,11.11,10.81,16.83,7.25,10.12,9.97,13.06,7.75,11.32
"34","1110015O18Rik",153.88,137.82,64.86,103.29,137.01,152.79,194,174.1,133.12,144.88
"35","1110017D15Rik",56.21,98.92,19.22,81.1,182.94,157.85,92.02,156.69,137,160.72
"36","1110018N20Rik",82.93,107.81,130.91,153.02,111.22,68.81,57.51,116.43,126.66,104.13
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,0
"38","1110019D14Rik",34.09,46.68,36.03,57.38,58.03,45.53,34.51,52.23,46.53,56.59
"39","1110020A21Rik",14.74,6.67,19.22,14.54,18.54,10.12,19.17,17.41,14.22,18.11
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,0
"41","1110025M09Rik",10.14,13.34,8.41,4.59,6.45,8.1,9.2,17.41,11.63,12.45
"42","1110028F11Rik",0,0,0,1.53,0.81,0,0,3.26,2.58,0
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,0
"44","1110032A03Rik",714.09,836.91,921.19,941.09,982.42,850.99,934.73,965.16,1088.24,1278.98
"45","1110032F04Rik",144.66,217.84,498.43,385.62,91.87,158.87,144.93,149.07,137,147.14
"46","1110035H17Rik",0.92,3.33,3.6,3.06,0.81,4.05,3.83,5.44,2.58,4.53
"47","1110038B12Rik",193.5,161.16,159.74,212.7,150.71,117.38,126.52,137.1,158.97,129.03
"48","1110038F14Rik",285.64,340.1,295.45,348.13,290.13,278.27,287.55,252.44,281.75,305.6
"49","1110046J04Rik",33.17,50.01,62.45,54.32,29.82,30.36,29.14,32.64,31.02,48.67
"50","1110051M20Rik",1824.39,2097.27,1944.47,1714.61,1737.56,2117.87,2209.92,2067.43,2020.1,1993.17
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,0
"52","1110059E24Rik",614.58,745.77,605.32,599.08,668.91,663.79,667.12,606.08,602.28,674.58
"53","1110059G10Rik",570.35,487.92,357.91,372.61,423.11,464.45,351.2,347.11,341.21,427.84
"54","1110060G06Rik",0,1.11,3.6,0,2.42,1.01,0.77,1.09,0,3.4
"55","1110065P20Rik",738.05,834.68,850.33,946.44,988.86,753.85,868.79,749.72,788.4,930.37
"56","1190001M18Rik",0,0,1.2,3.06,0,2.02,1.53,3.26,0,0
"57","1190005I06Rik",18.43,33.34,26.42,31.37,32.24,26.31,26.84,22.85,20.68,23.77
"58","1190007I07Rik",119.78,117.81,103.29,146.14,126.53,119.4,109.65,121.87,130.54,110.92
"59","1190028D05Rik",0,0,0,0,0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0,0,0,0,0
"61","1300002E11Rik",133.6,128.93,94.88,159.91,164.41,143.69,111.19,124.05,165.43,172.04
"62","1300014J16Rik",0.92,1.11,6.01,6.89,12.89,0,0.77,5.44,3.88,3.4
"63","1300017J02Rik",0,3.33,0,6.89,4.03,2.02,1.53,0,5.17,1.13
"64","1500002C15Rik",17.51,36.68,22.82,48.2,39.49,46.55,55.21,35.91,47.82,33.96
"65","1500002F19Rik",11.06,13.34,8.41,11.48,4.03,4.05,11.5,7.62,7.75,10.19
"66","1500004A13Rik",1214.42,1289.26,1692.26,1349.65,1216.13,1133.31,1282.09,1285.07,1252.39,1005.07
"67","1500005C15Rik",0,0,2.4,0,0,1.01,1.53,0,0,1.13
"68","1500009C09Rik",2907.97,3377.63,3492.61,3378.73,3359.07,3267.37,3722.82,3363.38,3449.55,4057.64
"69","1500009L16Rik",351.98,429.01,324.28,349.66,393.29,411.84,420.21,337.32,401.95,367.85
"70","1500011B03Rik",2438.98,2899.72,2692.72,2874.52,2774.78,2849.46,3216.73,3033.68,2855.03,3257.43
"71","1500012K07Rik",1.84,0,0,9.95,0.81,0,0.77,0,1.29,2.26
"72","1500015A07Rik",47.91,63.35,48.04,44.38,66.09,48.57,42.94,47.88,52.99,48.67
"73","1500015L24Rik",0,15.56,4.8,6.12,8.06,2.02,6.13,1.09,1.29,0
"74","1500026H17Rik",74.63,35.57,56.45,71.16,66.89,49.58,51.38,53.32,55.58,48.67
"75","1500032F14Rik",0,0,0,3.06,2.42,1.01,0,0,0,2.26
"76","1500035N22Rik",86.61,50.01,44.44,84.16,83.01,59.7,69.78,69.64,52.99,118.84
"77","1520401A03Rik",0,0,0,0.77,4.84,0,0,0,0,0
"78","1600002D24Rik",0.92,4.45,1.2,4.59,1.61,3.04,0,7.62,1.29,1.13
"79","1600010M07Rik",1.84,3.33,3.6,2.3,0.81,2.02,3.07,3.26,0,2.26
"80","1600012H06Rik",552.85,490.14,488.82,659.52,528.68,462.43,486.15,464.63,541.54,387.09
"81","1600012P17Rik",0,0,0,0,0,0,0,0,0,0
"82","1600014C10Rik",888.24,929.15,904.38,831.67,908.27,928.91,986.87,930.34,1044.3,844.35
"83","1600014C23Rik",0.92,10,4.8,9.95,4.84,2.02,9.2,2.18,1.29,4.53
"84","1600017P15Rik",0,0,0,3.06,1.61,0,0.77,2.18,5.17,2.26
"85","1600019K03Rik",0,0,0,0,0,0,0,0,0,0
"86","1600020E01Rik",167.7,160.05,129.71,228.77,159.57,147.73,166.4,136.02,112.44,181.09
"87","1600022D10Rik",0,0,4.8,0,0.81,0,0,0,0,0
"88","1600023N17Rik",0.92,2.22,7.21,5.36,6.45,4.05,5.37,2.18,2.58,2.26
"89","1600025M17Rik",0,0,0,0,0,0,0,0,0,0
"90","1600027J07Rik",0,0,0,0,1.61,0,0,0,0,0
"91","1600029O15Rik",11.06,13.34,25.22,22.95,11.28,15.18,7.67,18.5,11.63,10.19
"92","1700001C19Rik",0,1.11,4.8,5.36,6.45,3.04,0.77,2.18,5.17,2.26
"93","1700001D01Rik",0,0,0,0,0,0,0,0,0,0
"94","1700001F09Rik",0,1.11,0,1.53,0.81,3.04,0,0,0,0
"95","1700001G01Rik",0,0,0,0,0,0,0,0,0,0
"96","1700001G11Rik",9.21,3.33,3.6,13.01,4.84,5.06,2.3,14.15,10.34,10.19
"97","1700001G17Rik",6.45,6.67,0,1.53,7.25,6.07,5.37,4.35,5.17,4.53
"98","1700001J03Rik",4.61,0,0,0,0,0,0,0,0,0
"99","1700001J04Rik",0,0,0,0,0.81,0,0,0,0,0
"100","1700001J11Rik",0,0,0,0,0,0,0,0,0,0
"101","1700001K19Rik",0,0,0,0,2.42,1.01,0,0,0,0
"102","1700001K23Rik",0,0,0,2.3,0,0,0,0,0,0
"103","1700001L05Rik",59.89,58.91,129.71,113.24,116.05,124.46,64.41,146.9,105.98,69.04
"104","1700001L19Rik",142.82,173.38,512.84,349.66,203.9,218.57,165.63,218.71,201.62,208.26
"105","1700001N15Rik",0,0,0,0,0,0,0,0,0,0
"106","1700001O22Rik",62.66,37.79,36.03,55.85,37.07,19.23,29.91,35.91,25.85,22.64
"107","1700001P01Rik",16.59,10,14.41,12.24,20.95,6.07,14.57,4.35,0,1.13
"108","1700003C15Rik",0,0,0,0,0,0,0,0,0,0
"109","1700003D09Rik",273.66,167.83,57.65,72.69,151.51,132.56,74.38,208.92,138.29,118.84
"110","1700003E16Rik",459.78,507.92,821.51,652.64,463.4,547.43,494.59,475.51,434.26,537.62
"111","1700003E24Rik",0,0,0,0,0,0,0,0,0,0
"112","1700003F12Rik",4.61,5.56,6.01,6.89,8.87,4.05,26.84,20.67,7.75,11.32
"113","1700003G18Rik",0,0,0,3.06,0,0,0,1.09,0,1.13
"114","1700003H04Rik",0,0,0,0,0,0,0,0,0,0
"115","1700003I16Rik",0,2.22,0,0,0.81,0,0,0,2.58,0
"116","1700003I22Rik",0,0,0,0,0,0,0,0,0,0
"117","1700003L19Rik",0,3.33,2.4,5.36,0.81,0,3.83,1.09,1.29,1.13
"118","1700003M07Rik",152.95,154.49,177.75,199.69,161.18,167.97,249.98,134.93,146.05,158.46
"119","1700003N22Rik",6.45,1.11,13.21,6.89,0.81,3.04,3.07,1.09,3.88,0
"120","1700003O11Rik",0,0,0,0,0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0,0,0,0,0
"123","1700006F04Rik",0,0,0,0,0,0,0,0,1.29,0
"124","1700006H21Rik",0,0,0,0,0,0,0,0,0,0
"125","1700006J14Rik",0,0,0,0,1.61,0,0.77,0,1.29,0
"126","1700006P03Rik",0,0,0,0,0,0,0,0,0,0
"127","1700007E05Rik",0,0,0,0,0,0,0,0,0,0
"128","1700007F19Rik",1.84,12.23,1.2,9.95,3.22,4.05,9.97,4.35,2.58,11.32
"129","1700007H22Rik",0,0,0,0,0,0,0,0,0,0
"130","1700007J10Rik",0.92,0,0,0,0,0,0,2.18,0,0
"131","1700007K13Rik",46.07,92.25,57.65,59.68,133.78,87.02,105.05,114.25,117.61,127.9
"132","1700007L15Rik",5.53,17.78,3.6,4.59,10.48,11.13,15.34,11.97,23.26,3.4
"133","1700007M16Rik",0,0,0,0,0,0,0,0,0,0
"134","1700007P06Rik",0,2.22,7.21,6.12,0,0,0,0,0,0
"135","1700008A23Rik",0,0,0,0,0.81,0,0.77,0,0,1.13
"136","1700008B11Rik",0,0,0,0,0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0,0,0,0,0
"138","1700008H02Rik",0,0,0,0,0,1.01,0,0,0,0
"139","1700008J07Rik",51.6,52.24,61.25,79.57,55.61,73.87,64.41,46.79,59.45,54.33
"140","1700008K24Rik",0,0,0,0,0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,0,0,0,0,0,0,0
"142","1700008O03Rik",53.44,50.01,49.24,47.44,59.64,40.48,54.44,53.32,81.42,76.97
"143","1700008P02Rik",0,0,0,0,0,0,0,0,0,0
"144","1700009C05Rik",9.21,1.11,4.8,1.53,2.42,0,0.77,1.09,2.58,0
"145","1700009J07Rik",0,0,0,0.77,0,2.02,0,0,0,0
"146","1700009N14Rik",0,0,0,0,0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,0,0,0,0.77,0,0,0
"148","1700010B13Rik",5.53,0,0,2.3,0,0,3.07,0,0,4.53
"149","1700010D01Rik",0,0,0,0,0,0,0,0,0,0
"150","1700010G06Rik",0,0,1.2,3.06,0,0,0,0,1.29,1.13
"151","1700010H22Rik",0,0,0,0,0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0,0,0,0,0
"153","1700010I14Rik",24.88,42.23,24.02,39.79,45.13,49.58,29.14,42.44,36.19,35.09
"154","1700010J16Rik",0,0,2.4,0,0,0,0,0,0,0
"155","1700010K23Rik",0.92,1.11,1.2,1.53,0,0,0,1.09,0,5.66
"156","1700010K24Rik",0,0,0,0.77,0.81,0,3.07,1.09,1.29,1.13
"157","1700010L04Rik",0,0,0,0,0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0,0,0,0,0
"161","1700011D18Rik",0,0,1.2,0.77,2.42,6.07,0,1.09,2.58,1.13
"162","1700011L03Rik",0,0,0,1.53,0,0,0,0,0,0
"163","1700011L22Rik",0,2.22,0,0,0.81,0,0,0,0,1.13
"164","1700011M02Rik",0,0,0,0,0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0,0,0,0,0
"166","1700012B07Rik",0,0,0,0,0,0,0,0,0,0
"167","1700012B09Rik",0,25.56,0,9.95,62.06,23.27,22.24,38.08,64.62,31.69
"168","1700012C08Rik",0,0,0,0,0,0,0,0,0,0
"169","1700012C14Rik",2.76,4.45,0,3.06,3.22,1.01,1.53,2.18,5.17,1.13
"170","1700012D14Rik",1.84,25.56,10.81,14.54,20.15,7.08,16.87,13.06,10.34,13.58
"171","1700012D16Rik",0,0,0,0,0,0,0,0,0,0
"172","1700012E03Rik",0,0,0,0,0,0,0,0,0,0
"173","1700012I11Rik",0,0,0,0,0,0,0,0,1.29,0
"174","1700012J15Rik",0,0,0,0,0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0,0,0,0,0
"176","1700012P22Rik",0,0,0,0,0,0,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0,0,0,0,0
"179","1700013F07Rik",27.64,14.45,15.61,15.3,41.1,27.32,15.34,44.61,40.07,37.35
"180","1700013G24Rik",0,0,0,0,0,0,0,0,0,0
"181","1700013H16Rik",0,2.22,0,1.53,0.81,1.01,1.53,1.09,0,1.13
"182","1700013M08Rik",0.92,0,0,0,0,0,0,0,0,0
"183","1700013N06Rik",0,0,0,0,0,0,0,0,0,0
"184","1700014D04Rik",14.74,30.01,18.02,17.6,24.18,21.25,19.17,20.67,6.46,10.19
"185","1700014F14Rik",0,0,0,0,0,0,0,0,0,0
"186","1700014L14Rik",0,0,0,0,0,0,0,1.09,0,0
"187","1700015C15Rik",0,0,0,0,0,2.02,0,0,0,1.13
"188","1700015C17Rik",0,0,0,0,0.81,0,0,0,0,0
"189","1700015F17Rik",1.84,0,0,0.77,3.22,1.01,3.07,1.09,0,0
"190","1700015G11Rik",0,0,0,0,0,0,0,0,0,0
"191","1700015H07Rik",0,0,0,0,0,0,0,0,0,0
"192","1700015I17Rik",0,0,0,0,0,0,0,0,0,0
"193","1700015O11Rik",0,0,0,0,0,0,0,0,2.58,1.13
"194","1700016A09Rik",5.53,1.11,14.41,6.89,6.45,7.08,2.3,7.62,2.58,7.92
"195","1700016B01Rik",0,0,0,0,0,0,0,0,0,0
"196","1700016B15Rik",0,0,0,0,0,0,0,0,0,1.13
"197","1700016C15Rik",0,0,0,2.3,1.61,2.02,2.3,1.09,2.58,5.66
"198","1700016D06Rik",4.61,4.45,0,0.77,1.61,0,2.3,6.53,1.29,0
"199","1700016D08Rik",0,0,0,0,0,0,0,0,0,0
"200","1700016F12Rik",0,0,0,0,0,0,0,0,0,0
"201","1700016G22Rik",0,0,0,0,0,0,0,0,0,0
"202","1700016H03Rik",0,0,0,0,0,0,0,0,0,0
"203","1700016H13Rik",0,2.22,0,0.77,2.42,0,1.53,1.09,0,7.92
"204","1700016J18Rik",0,1.11,1.2,0.77,4.84,1.01,3.07,3.26,1.29,3.4
"205","1700016K05Rik",0,0,0,0,0,0,0,0,0,0
"206","1700016K19Rik",26.72,56.68,99.69,71.16,72.53,21.25,39.11,54.41,68.5,53.2
"207","1700016L21Rik",0,0,0,0,0,0,0,0,1.29,0
"208","1700016P03Rik",79.24,60.02,49.24,53.56,48.36,31.37,30.67,53.32,74.96,70.17
"209","1700016P04Rik",0,0,0,0,0,0,0,0,0,0
"210","1700017B05Rik",233.12,222.29,296.66,203.52,249.03,246.9,267.61,241.56,352.84,232.03
"211","1700017G19Rik",1.84,0,1.2,0,0,0,0,0,0,0
"212","1700017I07Rik",0,0,0,0,0,0,0,0,0,0
"213","1700017J07Rik",4.61,0,0,0,1.61,0,0,0,0,0
"214","1700017L05Rik",0,0,0,0,0,0,0,0,0,0
"215","1700017M07Rik",4.61,2.22,3.6,0.77,10.48,6.07,2.3,2.18,1.29,3.4
"216","1700017N19Rik",0,0,0,0,0,0,0.77,0,3.88,0
"217","1700018A04Rik",9.21,0,12.01,1.53,4.84,3.04,7.67,1.09,1.29,0
"218","1700018A14Rik",0,0,0,0,2.42,0,0,0,1.29,0
"219","1700018A23Rik",0,0,1.2,1.53,0,1.01,0,0,1.29,0
"220","1700018B08Rik",0,0,0,0,0,0,1.53,0,0,0
"221","1700018B24Rik",0,0,0,0,0,0,0,0,0,0
"222","1700018F24Rik",0,0,0,0,0,0,0,0,0,0
"223","1700018G05Rik",0,0,0,0,0,0,0,0,0,0
"224","1700018L02Rik",3.69,8.89,10.81,9.95,12.09,14.17,7.67,10.88,7.75,15.85
"225","1700018M17Rik",0,0,0,0,0,0,0,0,0,0
"226","1700018P08Rik",0,0,0,0,0,0,0,0,0,0
"227","1700019A02Rik",4.61,4.45,2.4,3.06,4.84,6.07,0,3.26,2.58,1.13
"228","1700019A23Rik",0,0,0,0,0,0,0,0,0,0
"229","1700019C18Rik",0,0,0,0,1.61,0,0,0,0,0
"230","1700019D03Rik",338.16,318.98,632.94,444.53,255.48,339.99,246.14,261.15,292.09,313.52
"231","1700019E08Rik",0,0,0,0,0,0,0,0,0,0
"232","1700019F05Rik",0,0,0,0,0,0,0,0,0,0
"233","1700019G24Rik",2.76,10,1.2,7.65,18.54,11.13,12.27,16.32,15.51,24.9
"234","1700019J19Rik",0,0,0,3.06,0,0,0,0,0,0
"235","1700019L13Rik",0,0,2.4,0.77,0.81,1.01,0.77,1.09,3.88,1.13
"236","1700019M22Rik",0,0,0,0,0,0,0,0,0,0
"237","1700019N19Rik",1.84,13.34,2.4,12.24,15.31,8.1,4.6,9.79,3.88,7.92
"238","1700019P21Rik",0,0,0,0,0,0,0,0,0,0
"239","1700020A23Rik",0,0,0,0,0,0,0,0,0,0
"240","1700020D05Rik",2.76,1.11,0,1.53,3.22,0,0,1.09,0,0
"241","1700020D12Rik",0,0,0,0,0.81,0,0,0,0,0
"242","1700020G03Rik",0,0,0,0,0,0,0,0,1.29,0
"243","1700020G17Rik",0,0,0,0,2.42,1.01,1.53,0,1.29,0
"244","1700020L24Rik",2.76,7.78,6.01,6.12,8.06,7.08,1.53,4.35,2.58,2.26
"245","1700020M21Rik",0,0,0,0,0,0,2.3,0,0,0
"246","1700020N01Rik",0,0,9.61,0,0,0,1.53,0,0,3.4
"247","1700020N15Rik",0,0,0,0,0,0,0,0,0,0
"248","1700020N18Rik",0,0,1.2,3.83,1.61,2.02,1.53,0,0,2.26
"249","1700021A07Rik",0,0,0,0,0,0,0,0,0,0
"250","1700021F02Rik",0,0,0,0,0,0,0,0,0,0
"251","1700021F07Rik",8.29,4.45,0,7.65,7.25,14.17,7.67,1.09,1.29,4.53
"252","1700021F13Rik",0,0,0,0,0,0,0,0,0,0
"253","1700021G15Rik",0,0,0,0,0,0,0,0,0,0
"254","1700021J08Rik",4.61,1.11,0,0,0.81,0,0,0,0,1.13
"255","1700021L23Rik",0,0,0,0,1.61,0,0,1.09,0,0
"256","1700021N21Rik",2.76,2.22,3.6,1.53,1.61,0,0,1.09,2.58,0
"257","1700021P04Rik",0,0,0,0,0,0,0,0,0,0
"258","1700022A21Rik",0,0,0,0,0,0,0,0,0,0
"259","1700022A22Rik",0,0,0,0,0,0,0,0,0,0
"260","1700022E09Rik",0,0,0,0,0,0,0,0,0,0
"261","1700022H01Rik",0,1.11,0,1.53,4.84,3.04,0.77,0,0,2.26
"262","1700022H16Rik",0,0,0,0,0,0,0,0,0,0
"263","1700022I11Rik",4.61,13.34,7.21,10.71,8.06,5.06,2.3,8.7,10.34,3.4
"264","1700022N22Rik",5.53,1.11,3.6,3.06,8.87,4.05,4.6,8.7,6.46,1.13
"265","1700023B13Rik",3.69,0,0,0.77,0,0,0.77,0,0,0
"266","1700023C21Rik",0,0,0,0,0,0,0,1.09,0,0
"267","1700023F02Rik",0,2.22,0,3.83,2.42,2.02,1.53,0,1.29,2.26
"268","1700023G09Rik",0,0,0,0,0,0,0,0,0,0
"269","1700023H06Rik",0,0,0,0,0,0,0,0,0,0
"270","1700024B05Rik",0,0,0,0,0,0,0,0,0,0
"271","1700024B18Rik",0,0,0,0,0,0,0,0,0,0
"272","1700024G13Rik",6.45,27.79,3.6,9.18,44.33,29.34,25.3,39.17,31.02,31.69
"273","1700024I08Rik",0,0,0,0,0,0,0,0,0,0
"274","1700024J04Rik",0,0,0,0,0,0,0,0,0,0
"275","1700025A08Rik",0,0,0,0,0,0,0.77,0,0,0
"276","1700025B11Rik",0,0,0,0,0,0,0,0,0,0
"277","1700025C18Rik",0,0,0,0,0,0,0,0,0,0
"278","1700025D23Rik",0,0,0,0.77,0,0,0.77,0,0,0
"279","1700025F24Rik",0,0,1.2,0,0,0,0,0,0,0
"280","1700025G04Rik",2603.91,2530.72,4309.31,3436.87,3240.6,3249.15,3290.34,2905.28,2954.54,2887.32
"281","1700025H01Rik",0,0,0,0,0,0,0,0,0,0
"282","1700025J12Rik",0,0,2.4,0,0,0,0,0,0,0
"283","1700025K04Rik",0,0,0,0,0,0,0,0,0,0
"284","1700025K24Rik",0,0,1.2,0,0,0,0,0,0,0
"285","1700025L06Rik",0,0,0,0,0,0,0,0,0,0
"286","1700025M24Rik",0,0,0,0,0,0,0,0,0,0
"287","1700025N21Rik",0,0,0,0,0,0,0,0,0,0
"288","1700025N23Rik",0,0,0,0,0.81,0,0,0,0,0
"289","1700025O08Rik",0,0,0,0,0,0,0,0,0,0
"290","1700026D11Rik",0,0,0,0,0,0,0,0,0,0
"291","1700026F02Rik",0,0,0,0,0,0,0,0,0,0
"292","1700026J12Rik",0,0,1.2,0,0,0,0,0,0,0
"293","1700026J14Rik",0.92,4.45,6.01,3.06,5.64,5.06,2.3,13.06,1.29,5.66
"294","1700026N04Rik",0,1.11,0,0,0,0,0,0,1.29,0
"295","1700027A07Rik",1.84,6.67,6.01,5.36,3.22,3.04,2.3,7.62,1.29,6.79
"296","1700027A15Rik",0,0,0,0.77,0,0,2.3,1.09,0,1.13
"297","1700027F06Rik",0,0,0,0,0,0,0,0,0,0
"298","1700027F09Rik",0,0,0,0,0,0,0,0,0,0
"299","1700027H10Rik",0,1.11,0,0,0,1.01,0,0,0,0
"300","1700027I24Rik",0,0,0,0,0,0,0,0,0,0
"301","1700027J07Rik",0,0,0,0,0,0,0.77,0,0,0
"302","1700028B04Rik",0,1.11,0,1.53,0,1.01,0,0,0,0
"303","1700028D13Rik",0,0,0,0,0,0,0,0,0,0
"304","1700028E10Rik",23.04,21.12,72.06,31.37,45.13,42.5,31.44,28.29,27.14,44.14
"305","1700028I16Rik",0,0,1.2,0,1.61,0,1.53,0,0,2.26
"306","1700028J19Rik",15.66,5.56,30.03,13.01,8.06,16.19,23.77,8.7,19.39,27.16
"307","1700028K03Rik",7.37,8.89,10.81,12.24,6.45,9.11,6.13,7.62,9.05,1.13
"308","1700028M03Rik",0,0,0,0,0,0,0,0,0,0
"309","1700028N14Rik",0,0,1.2,0,0,0,1.53,2.18,0,1.13
"310","1700028P14Rik",13.82,20.01,20.42,18.36,55.61,12.14,18.4,29.38,43.94,41.88
"311","1700028P15Rik",0,0,0,0,0,0,0,0,0,0
"312","1700029B22Rik",0,0,0,0,0,0,0,0,0,0
"313","1700029B24Rik",0,0,0,0,0,0,0,0,0,0
"314","1700029E06Rik",0,0,0,0,0,0,0,0,0,0
"315","1700029F12Rik",0,0,0,0,0,0,0,0,0,0
"316","1700029H14Rik",0,1.11,0,0,0.81,0,0,0,0,0
"317","1700029I15Rik",2.76,6.67,21.62,19.89,14.51,5.06,10.74,10.88,11.63,15.85
"318","1700029J03Rik",0,0,0,0,0,0,0,0,0,1.13
"319","1700029J07Rik",38.7,47.79,21.62,45.91,95.9,24.29,42.17,38.08,50.41,63.38
"320","1700029M03Rik",0,0,0,0,0,0,0,0,0,0
"321","1700029M20Rik",0,0,2.4,0.77,0.81,0,6.13,1.09,0,2.26
"322","1700029N11Rik",0,0,0,0,0,0,0,0,0,0
"323","1700029P11Rik",0,0,0,0,0,0,0,0,0,0
"324","1700030A11Rik",0,0,3.6,0.77,2.42,0,0,0,0,0
"325","1700030C10Rik",15.66,11.11,4.8,13.01,8.87,11.13,7.67,15.23,6.46,4.53
"326","1700030C12Rik",2.76,0,2.4,4.59,1.61,3.04,3.83,0,0,1.13
"327","1700030C14Rik",21.19,25.56,7.21,9.18,19.34,20.24,14.57,9.79,3.88,23.77
"328","1700030E10Rik",0,0,0,0.77,0,0,0,0,0,0
"329","1700030F04Rik",3.69,0,3.6,2.3,0.81,0,0,0,0,0
"330","1700030I03Rik",0,0,0,0,0,0,0,0,0,0
"331","1700030J22Rik",312.36,297.86,299.06,192.81,286.1,310.65,311.32,277.47,248.15,290.88
"332","1700030K09Rik",245.1,242.29,218.59,248.66,230.49,213.51,210.87,153.43,183.53,187.89
"333","1700030L20Rik",0,0,0,0,0,0,0.77,0,0,1.13
"334","1700030L22Rik",0,0,0,0,0,0,0,0,0,0
"335","1700030M09Rik",0,2.22,3.6,1.53,0.81,0,0.77,0,0,0
"336","1700030N03Rik",0,0,0,0,0,0,0,0,0,0
"337","1700030N18Rik",0,0,0,0,0.81,0,0,0,0,0
"338","1700030O20Rik",0,0,0,0,0,0,0,0,0,0
"339","1700031A10Rik",0,0,0,0,0,0,0,0,0,0
"340","1700031F05Rik",0,0,0,0,0,0,0,0,0,0
"341","1700031F10Rik",0,0,0,0,0.81,0,0,0,0,0
